['AIV', array([1.3843989], dtype=float32)]
['ADVM', array([0.70762056], dtype=float32)]
['DAO', array([0.60417324], dtype=float32)]
['GRPN', array([0.58245844], dtype=float32)]
['FGEN', array([0.5289042], dtype=float32)]
['FLXN', array([0.4757865], dtype=float32)]
['FRLN', array([0.46651775], dtype=float32)]
['BLUE', array([0.46604162], dtype=float32)]
['ENDP', array([0.4622581], dtype=float32)]
['PASG', array([0.41479897], dtype=float32)]
['ASMB', array([0.41060507], dtype=float32)]
['APLS', array([0.40387064], dtype=float32)]
['ABSI', array([0.39392602], dtype=float32)]
['QS', array([0.39222473], dtype=float32)]
['VFF', array([0.39094394], dtype=float32)]
['LXRX', array([0.38604063], dtype=float32)]
['LLNW', array([0.3802573], dtype=float32)]
['BEKE', array([0.37696606], dtype=float32)]
['IRTC', array([0.359735], dtype=float32)]
['AMWL', array([0.34168637], dtype=float32)]
['TSLA', array([0.33635896], dtype=float32)]
['MESO', array([0.33593935], dtype=float32)]
['PRVB', array([0.33283722], dtype=float32)]
['CBAY', array([0.32800448], dtype=float32)]
['GKOS', array([0.3258404], dtype=float32)]
['CRON', array([0.32560402], dtype=float32)]
['HMPT', array([0.32055098], dtype=float32)]
['MOR', array([0.3176353], dtype=float32)]
['HGEN', array([0.3149593], dtype=float32)]
['AVRO', array([0.31494313], dtype=float32)]
['GOLD', array([0.31009358], dtype=float32)]
['ASML', array([0.3039124], dtype=float32)]
['NKLA', array([0.30355763], dtype=float32)]
['SFT', array([0.30051458], dtype=float32)]
['APPS', array([0.2995336], dtype=float32)]
['OGI', array([0.29759848], dtype=float32)]
['HUYA', array([0.29633355], dtype=float32)]
['VNTR', array([0.29482388], dtype=float32)]
['MU', array([0.2942109], dtype=float32)]
['GOCO', array([0.29341012], dtype=float32)]
['CGAU', array([0.28534627], dtype=float32)]
['AMRS', array([0.28432718], dtype=float32)]
['ACAD', array([0.2803374], dtype=float32)]
['STOK', array([0.2788019], dtype=float32)]
['MRSN', array([0.27573347], dtype=float32)]
['GBT', array([0.27531928], dtype=float32)]
['ERF', array([0.2742619], dtype=float32)]
['WKHS', array([0.27238268], dtype=float32)]
['AUTL', array([0.27021044], dtype=float32)]
['AWH', array([0.26929173], dtype=float32)]
['TRQ', array([0.26886016], dtype=float32)]
['ROOT', array([0.26839954], dtype=float32)]
['SDC', array([0.26627982], dtype=float32)]
['SLQT', array([0.2661941], dtype=float32)]
['PRAX', array([0.26599538], dtype=float32)]
['KGC', array([0.26531237], dtype=float32)]
['SPOT', array([0.26426777], dtype=float32)]
['BCRX', array([0.2638854], dtype=float32)]
['SPWR', array([0.2630782], dtype=float32)]
['DRIO', array([0.26299587], dtype=float32)]
['FUBO', array([0.26169884], dtype=float32)]
['SKLZ', array([0.25972763], dtype=float32)]
['MAX', array([0.25963628], dtype=float32)]
['NFLX', array([0.25957495], dtype=float32)]
['ALLK', array([0.25942075], dtype=float32)]
['AEVA', array([0.25822806], dtype=float32)]
['ABNB', array([0.25738958], dtype=float32)]
['MRCY', array([0.2567088], dtype=float32)]
['CGC', array([0.2560643], dtype=float32)]
['PLCE', array([0.2555133], dtype=float32)]
['HBM', array([0.2547611], dtype=float32)]
['FTCI', array([0.25447106], dtype=float32)]
['AVAH', array([0.25276935], dtype=float32)]
['SELB', array([0.2522928], dtype=float32)]
['AMD', array([0.25218463], dtype=float32)]
['INTU', array([0.25168586], dtype=float32)]
['INSG', array([0.251481], dtype=float32)]
['OAS', array([0.24963565], dtype=float32)]
['PDS', array([0.24937893], dtype=float32)]
