Symbol,Date,Price,Analysts,StrongBuy,Buy,Hold,Sell,Lowcast,Forecast,Highcast,Actual
ABTX,02/01/2019,36.0099983215332,2,1,0,1,0,-0.01,0.11,-0.01,-0.0564
ABTX,03/01/2019,38.06999969482422,3,0,1,2,0,-0.01,0.05,0.14,-0.089
ABTX,05/01/2019,34.68000030517578,3,0,1,2,0,0.0,0.09,0.2,-0.0311
ABTX,05/01/2020,24.13999938964844,2,0,1,1,0,0.15,0.39,0.15,0.0572
ACLS,08/01/2018,22.149999618530273,5,0,5,0,0,0.38,0.58,0.38,-0.1079
ACLS,02/01/2019,20.850000381469727,4,0,4,0,0,0.28,0.31,0.28,-0.0283
ACLS,03/01/2019,21.100000381469727,4,0,4,0,0,0.25,0.29,0.32,0.019
ACLS,05/01/2019,21.5,4,0,4,0,0,0.31,0.35,0.31,-0.2781
ACLS,08/01/2019,16.069999694824222,3,0,3,0,0,0.67,0.74,0.67,0.0728
ACLS,04/01/2020,17.75,5,0,3,2,0,-0.1,0.35,0.8,0.5211
ACLS,05/01/2020,22.71999931335449,5,0,2,3,0,-0.15,-0.01,0.37,0.2258
ABIO,08/01/2019,6.9000000953674325,1,0,1,0,0,1.63,1.63,1.63,-0.2623
ABIO,04/01/2020,2.720000028610229,1,0,1,0,0,4.86,4.86,4.86,2.739
ABIO,05/01/2020,3.5499999523162837,1,0,1,0,0,3.29,3.29,3.29,0.8648
ADMP,08/01/2018,3.2999999523162837,4,0,4,0,0,0.56,0.95,1.71,0.0606
ADMP,02/01/2019,3.0299999713897705,4,0,3,1,0,-0.19,1.15,2.25,-0.297
ADMP,08/01/2019,0.9800000190734864,4,0,3,0,1,0.01,4.07,2.67,-0.2653
ABUS,02/01/2019,3.690000057220459,3,0,2,1,0,0.3,0.77,1.34,-0.019
ABUS,03/01/2019,4.440000057220459,3,0,2,1,0,0.26,0.72,1.26,-0.3874
ABUS,05/01/2019,2.720000028610229,3,0,2,1,0,1.4,1.52,1.4,-0.2132
ABUS,08/01/2019,1.7899999618530271,3,0,2,1,0,1.92,2.7,1.92,-0.162
ABUS,04/01/2020,1.0099999904632568,4,0,4,0,0,2.2,4.0,7.0,1.099
ABUS,05/01/2020,1.0299999713897705,4,0,4,0,0,1.99,3.66,6.46,0.767
ACRX,03/01/2019,3.400000095367432,7,0,7,0,0,1.15,1.59,1.77,0.1412
ACRX,05/01/2019,3.880000114440918,7,0,7,0,0,0.86,1.31,1.86,-0.317
ACRS,08/01/2019,1.2799999713897705,3,0,3,0,0,8.29,15.9,16.14,-0.1719
ACRS,04/01/2020,1.0299999713897705,2,0,2,0,0,3.67,7.41,3.67,0.3592
ACRS,05/01/2020,1.2999999523162842,2,0,2,0,0,3.0,6.2,3.0,0.2462
ADXS,08/01/2018,21.75,3,0,2,1,0,0.09,0.81,0.63,-0.3517
ADXS,02/01/2019,5.699999809265138,3,0,2,1,0,4.13,6.69,4.13,0.6175
ADXS,03/01/2019,5.445000171661377,3,0,2,1,0,4.26,6.89,4.26,-0.348
ADXS,08/01/2019,0.5600000023841858,1,0,0,1,0,5.06,5.06,5.06,-0.5
ADXS,04/01/2020,0.5299999713897705,1,0,0,1,0,5.78,5.78,5.78,0.3208
